Minute,Humidity
1:50 PM,184.2057878
1:51 PM,194.073955
1:52 PM,612.0996785
1:53 PM,890.1655949
1:54 PM,708.0080386
1:55 PM,711.0337621
1:56 PM,645.414791
1:57 PM,567.414791
1:58 PM,567.6784566
1:59 PM,378.7186495
2:00 PM,250.0482315
2:01 PM,199.073955
2:02 PM,150.1398714
2:03 PM,180.2315113
2:04 PM,231.9019293
2:05 PM,670.0337621
2:06 PM,807.5868167
2:07 PM,990.0594855
2:08 PM,810.80707
2:09 PM,718.5980707
2:10 PM,620.8617363
2:11 PM,544.744373
2:12 PM,377.4951768
2:13 PM,360.2572347
2:14 PM,288.4807074
2:15 PM,210.7041801
2:16 PM,212.755627
2:17 PM,213.085209
2:18 PM,560.8874598
2:19 PM,999.755627
2:20 PM,1000.294212
2:21 PM,819.2942122
2:22 PM,780.6237942
2:23 PM,590.4405145
2:24 PM,456.1254019
2:25 PM,400.0192926
2:26 PM,388.2427653
2:27 PM,370.0450161
2:28 PM,345.7726045
2:29 PM,347.6897106
2:30 PM,322.9790997
2:31 PM,312.5434084
2:32 PM,324.2797428
2:33 PM,320.0160772
2:34 PM,780.7411576
2:35 PM,910.1366559
2:36 PM,1023.88746
2:37 PM,900.0707395
2:38 PM,831.3601286
2:39 PM,578.3601286
2:40 PM,455.14791
2:41 PM,460.5032154
2:42 PM,450.6350482
2:43 PM,433.6607717
2:44 PM,412.1993569
2:45 PM,405.3569132
2:46 PM,409.7926045
2:47 PM,407.0305466
2:48 PM,400.0450161
2:49 PM,399.8724
2:50 PM,330.5836013
2:51 PM,299.5176849
2:52 PM,300.2025723
2:53 PM,708.5032154
2:54 PM,890.3456592
2:55 PM,1023.858521
2:56 PM,900.1993569
2:57 PM,890.6977492
2:58 PM,500.8954984
2:59 PM,403.9758842
3:00 PM,430.6350482
3:01 PM,400.8729904
3:02 PM,390.6350482
3:03 PM,356.0160772
3:04 PM,890.2138264
3:05 PM,900.1334405
3:06 PM,1023.42283
3:07 PM,788.0675241
3:08 PM,600.0787781
3:09 PM,590.6688103
3:10 PM,499.7090032
3:11 PM,470.1446945
3:12 PM,489.6463023
3:13 PM,470.7926045
3:14 PM,457.2250804
3:15 PM,467.0932476
3:16 PM,455.5803859
3:17 PM,410.3681672
3:18 PM,408.7893891
3:19 PM,523.0128617
3:20 PM,615.1157556
3:21 PM,900.2588424
3:22 PM,1023.101286
3:23 PM,800.8665595
3:24 PM,754.2765273
3:25 PM,730.7122186
3:26 PM,700.2765273
3:27 PM,690.0787781
3:28 PM,640.0530547
3:29 PM,620.511254
3:30 PM,600.3536977
3:31 PM,583.8665595
3:32 PM,530.0610932
3:33 PM,503.7829582
3:34 PM,499.0723473
3:35 PM,708.4565916
3:36 PM,809.7090032
3:37 PM,1023.631833
3:38 PM,990.6173633
3:39 PM,800.1961415
3:40 PM,745.0128617
3:41 PM,650.3794212
3:42 PM,623.3536977
3:43 PM,590.0241158
3:44 PM,550.4421222
3:45 PM,545.5450161
3:46 PM,560.5707395
3:47 PM,500.4565916
3:48 PM,490.4453376
